Country,Ticker,Company,Screening_Market
US,NVDA,NVIDIA,US
US,AMD,Advanced Micro Devices,US
US,AVGO,Broadcom,US
US,MRVL,Marvell Technology,US
US,INTC,Intel,US
US,ARM,Arm Holdings,US
US,QCOM,Qualcomm,US
US,AMAT,Applied Materials,US
US,LRCX,Lam Research,US
US,KLAC,KLA,US
NL,ASML,ASML Holding,US
US,TER,Teradyne,US
US,MU,Micron Technology,US
US,ANET,Arista Networks,US
US,CSCO,Cisco Systems,US
US,CIEN,Ciena,US
US,LITE,Lumentum,US
US,COHR,Coherent,US
US,FN,Fabrinet,US
US,APH,Amphenol,US
US,TEL,TE Connectivity,US
US,DELL,Dell Technologies,US
US,HPE,Hewlett Packard Enterprise,US
US,SMCI,Super Micro Computer,US
US,VRT,Vertiv,US
US,MOD,Modine Manufacturing,US
US,NVT,nVent Electric,US
US,ETN,Eaton,US
US,GEV,GE Vernova,US
US,HUBB,Hubbell,US
US,PWR,Quanta Services,US
US,MSFT,Microsoft,US
US,AMZN,Amazon,US
US,GOOGL,Alphabet,US
US,META,Meta Platforms,US
US,ORCL,Oracle,US
US,CRWV,CoreWeave,US
US,EQIX,Equinix,US
US,DLR,Digital Realty,US
US,PLTR,Palantir Technologies,US
US,NOW,ServiceNow,US
US,CRM,Salesforce,US
US,SNOW,Snowflake,US
US,DDOG,Datadog,US
US,TSLA,Tesla,US
US,ROK,Rockwell Automation,US
US,SYM,Symbotic,US
KR,005930,삼성전자,KOSPI
KR,000660,SK하이닉스,KOSPI
KR,042700,한미반도체,KOSPI
KR,403870,HPSP,KOSDAQ
KR,089030,테크윙,KOSDAQ
KR,036930,주성엔지니어링,KOSDAQ
KR,240810,원익IPS,KOSDAQ
KR,140860,파크시스템스,KOSDAQ
KR,319660,피에스케이,KOSDAQ
KR,348210,넥스틴,KOSDAQ
KR,095340,ISC,KOSDAQ
KR,058470,리노공업,KOSDAQ
KR,011790,SKC,KOSPI
KR,009150,삼성전기,KOSPI
KR,353200,대덕전자,KOSPI
KR,007660,이수페타시스,KOSPI
KR,267260,HD현대일렉트릭,KOSPI
KR,010120,LS ELECTRIC,KOSPI
KR,298040,효성중공업,KOSPI
KR,103590,일진전기,KOSPI
KR,083450,GST,KOSDAQ
KR,064400,LG CNS,KOSPI
KR,035420,NAVER,KOSPI
KR,018260,삼성SDS,KOSPI
KR,307950,현대오토에버,KOSPI
KR,204320,HL만도,KOSPI
KR,277810,레인보우로보틱스,KOSDAQ
KR,454910,두산로보틱스,KOSPI
